time,longitude,latitude,curr_x,curr_y,lon1,lat1
2023-01-08,-125.97321,50.43349,0.05517,-0.122,-125.97321,50.43349
2023-01-08,-125.97321,50.438,-0.11396,0.117,-125.97321,50.438
2023-01-08,-125.97321,50.4425,-0.26454,-0.116,-125.97321,50.4425
2023-01-08,-125.97321,50.44699,-0.17646,-0.183,-125.97321,50.44699
2023-01-08,-125.97321,50.4515,-0.05818,-0.189,-125.97321,50.4515
2023-01-08,-125.97321,50.456,-0.04444,-0.161,-125.97321,50.456
2023-01-08,-125.97321,50.46049,-0.12519,-0.026,-125.97321,50.46049
2023-01-08,-125.97321,50.465,-0.18513,0.049,-125.97321,50.465
2023-01-08,-125.97321,50.4695,-0.17555,0.07,-125.97321,50.4695
2023-01-08,-125.9651,50.3975,0.04003,-0.074,-125.9651,50.3975
2023-01-08,-125.9651,50.402,0.06487,-0.111,-125.9651,50.402
2023-01-08,-125.9651,50.4065,0.10003,0.014,-125.9651,50.4065
2023-01-08,-125.9651,50.411,0.13598,0.132,-125.9651,50.411
2023-01-08,-125.9651,50.4155,0.10631,0.078,-125.9651,50.4155
2023-01-08,-125.9651,50.41999,0.16222,0.161,-125.9651,50.41999
2023-01-08,-125.9651,50.4245,0.11516,0.237,-125.9651,50.4245
2023-01-08,-125.9651,50.429,0.12542,0.217,-125.9651,50.429
2023-01-08,-125.9651,50.43349,0.00274,0.136,-125.9651,50.43349
2023-01-08,-125.9651,50.438,-0.08277,0.058,-125.9651,50.438
2023-01-08,-125.9651,50.4425,-0.13465,-0.08,-125.9651,50.4425
2023-01-08,-125.9651,50.44699,-0.07991,-0.081,-125.9651,50.44699
2023-01-08,-125.9651,50.4515,0.01372,-0.027,-125.9651,50.4515
2023-01-08,-125.9651,50.456,-0.12001,0.099,-125.9651,50.456
2023-01-08,-125.9651,50.46049,-0.25062,0.168,-125.9651,50.46049
2023-01-08,-125.9651,50.465,-0.23768,0.102,-125.9651,50.465
2023-01-08,-125.9651,50.4695,-0.16371,0.021,-125.9651,50.4695
2023-01-08,-125.957,50.3975,0.02062,0.029,-125.957,50.3975
2023-01-08,-125.957,50.402,0.03515,-0.018,-125.957,50.402
2023-01-08,-125.957,50.4065,0.05919,0.044,-125.957,50.4065
2023-01-08,-125.957,50.411,0.07622,-0.003,-125.957,50.411
2023-01-08,-125.957,50.4155,0.11449,0.031,-125.957,50.4155
2023-01-08,-125.957,50.41999,0.12713,0.118,-125.957,50.41999
2023-01-08,-125.957,50.4245,0.1065,0.092,-125.957,50.4245
2023-01-08,-125.957,50.429,0.0794,0.066,-125.957,50.429
2023-01-08,-125.957,50.43349,0.00103,0.183,-125.957,50.43349
2023-01-08,-125.957,50.44699,-0.01826,0.001,-125.957,50.44699
2023-01-08,-125.957,50.4515,-0.05232,0.077,-125.957,50.4515
2023-01-08,-125.957,50.456,-0.11213,0.107,-125.957,50.456
2023-01-08,-125.957,50.46049,-0.1678,0.042,-125.957,50.46049
2023-01-08,-125.957,50.465,-0.23188,0.027,-125.957,50.465
2023-01-08,-125.957,50.4695,-0.10755,0.038,-125.957,50.4695
2023-01-08,-125.9489,50.384,-0.01478,0.208,-125.9489,50.384
2023-01-08,-125.9489,50.3885,-0.05836,0.197,-125.9489,50.3885
2023-01-08,-125.9489,50.393,-0.03028,0.13,-125.9489,50.393
2023-01-08,-125.9489,50.3975,0.04638,-0.004,-125.9489,50.3975
2023-01-08,-125.9489,50.402,0.02849,-0.058,-125.9489,50.402
2023-01-08,-125.9489,50.4065,0.01488,0.148,-125.9489,50.4065
2023-01-08,-125.9489,50.411,0.03582,0.051,-125.9489,50.411
2023-01-08,-125.9489,50.4155,0.05932,0.005,-125.9489,50.4155
2023-01-08,-125.9489,50.41999,0.09063,0.057,-125.9489,50.41999
2023-01-08,-125.9489,50.4245,0.10466,0.025,-125.9489,50.4245
2023-01-08,-125.9489,50.429,0.08983,0.026,-125.9489,50.429
2023-01-08,-125.9489,50.44699,-0.05555,0.044,-125.9489,50.44699
2023-01-08,-125.9489,50.4515,-0.12159,0.078,-125.9489,50.4515
2023-01-08,-125.9489,50.456,-0.11073,0.095,-125.9489,50.456
2023-01-08,-125.9489,50.46049,-0.14186,0.09,-125.9489,50.46049
2023-01-08,-125.9489,50.465,-0.19477,0.012,-125.9489,50.465
2023-01-08,-125.9489,50.4695,-0.17128,-0.02,-125.9489,50.4695
2023-01-08,-125.9408,50.3795,0.0772,0.154,-125.9408,50.3795
2023-01-08,-125.9408,50.384,0.06341,0.175,-125.9408,50.384
2023-01-08,-125.9408,50.3885,0.10363,0.293,-125.9408,50.3885
2023-01-08,-125.9408,50.393,0.02697,0.11,-125.9408,50.393
2023-01-08,-125.9408,50.3975,0.1198,-0.09,-125.9408,50.3975
2023-01-08,-125.9408,50.402,0.12291,-0.145,-125.9408,50.402
2023-01-08,-125.9408,50.4065,0.14171,0.005,-125.9408,50.4065
2023-01-08,-125.9408,50.411,0.1469,0.112,-125.9408,50.411
2023-01-08,-125.9408,50.4155,0.04583,0.066,-125.9408,50.4155
2023-01-08,-125.9408,50.41999,0.05065,0.012,-125.9408,50.41999
2023-01-08,-125.9408,50.4245,0.08965,0.016,-125.9408,50.4245
2023-01-08,-125.9408,50.4425,-0.06745,0.027,-125.9408,50.4425
2023-01-08,-125.9408,50.44699,-0.08546,0.042,-125.9408,50.44699
2023-01-08,-125.9408,50.4515,-0.12245,0.064,-125.9408,50.4515
2023-01-08,-125.9408,50.456,-0.13288,0.075,-125.9408,50.456
2023-01-08,-125.9408,50.46049,-0.15919,0.084,-125.9408,50.46049
2023-01-08,-125.9408,50.465,-0.20161,0.046,-125.9408,50.465
2023-01-08,-125.9408,50.4695,-0.12196,0.004,-125.9408,50.4695
2023-01-08,-125.9408,50.474,-0.07209,0.012,-125.9408,50.474
2023-01-08,-125.93271,50.384,0.08391,0.208,-125.93271,50.384
2023-01-08,-125.93271,50.3885,0.18651,0.232,-125.93271,50.3885
2023-01-08,-125.93271,50.393,0.29485,0.098,-125.93271,50.393
2023-01-08,-125.93271,50.3975,0.34325,-0.206,-125.93271,50.3975
2023-01-08,-125.93271,50.402,0.35656,-0.184,-125.93271,50.402
2023-01-08,-125.93271,50.4065,0.06402,-0.133,-125.93271,50.4065
2023-01-08,-125.93271,50.411,0.20739,0.053,-125.93271,50.411
2023-01-08,-125.93271,50.4155,0.19689,0.01,-125.93271,50.4155
2023-01-08,-125.93271,50.41999,0.12615,-0.031,-125.93271,50.41999
2023-01-08,-125.93271,50.44699,-0.10987,-0.011,-125.93271,50.44699
2023-01-08,-125.93271,50.4515,-0.12281,0.026,-125.93271,50.4515
2023-01-08,-125.93271,50.456,-0.1443,0.06,-125.93271,50.456
2023-01-08,-125.93271,50.46049,-0.1714,0.05,-125.93271,50.46049
2023-01-08,-125.93271,50.465,-0.19776,0.001,-125.93271,50.465
2023-01-08,-125.93271,50.4695,-0.15406,-0.035,-125.93271,50.4695
2023-01-08,-125.92459,50.3885,0.14122,0.025,-125.92459,50.3885
2023-01-08,-125.92459,50.393,0.39525,0.124,-125.92459,50.393
2023-01-08,-125.92459,50.3975,0.38299,-0.025,-125.92459,50.3975
2023-01-08,-125.92459,50.402,0.35289,-0.234,-125.92459,50.402
2023-01-08,-125.92459,50.4065,0.36089,-0.247,-125.92459,50.4065
2023-01-08,-125.92459,50.411,0.17528,-0.276,-125.92459,50.411
2023-01-08,-125.92459,50.4155,0.26238,-0.037,-125.92459,50.4155
2023-01-08,-125.92459,50.44699,-0.11299,-0.014,-125.92459,50.44699
2023-01-08,-125.92459,50.4515,-0.10444,-0.007,-125.92459,50.4515
2023-01-08,-125.92459,50.456,-0.10005,0.042,-125.92459,50.456
2023-01-08,-125.92459,50.46049,-0.115,0.062,-125.92459,50.46049
2023-01-08,-125.92459,50.465,-0.12873,0.011,-125.92459,50.465
2023-01-08,-125.92459,50.4695,-0.13191,-0.048,-125.92459,50.4695
2023-01-08,-125.92459,50.474,-0.12574,-0.058,-125.92459,50.474
2023-01-08,-125.9165,50.3885,-0.0027,-0.005,-125.9165,50.3885
2023-01-08,-125.9165,50.393,0.08819,-0.064,-125.9165,50.393
2023-01-08,-125.9165,50.3975,0.33867,0.09,-125.9165,50.3975
2023-01-08,-125.9165,50.402,-0.05287,-0.162,-125.9165,50.402
2023-01-08,-125.9165,50.4065,0.27092,-0.28,-125.9165,50.4065
2023-01-08,-125.9165,50.411,0.08245,-0.217,-125.9165,50.411
2023-01-08,-125.9165,50.4155,0.0645,-0.027,-125.9165,50.4155
2023-01-08,-125.9165,50.44699,-0.05079,0.019,-125.9165,50.44699
2023-01-08,-125.9165,50.4515,-0.0746,0.045,-125.9165,50.4515
2023-01-08,-125.9165,50.456,-0.06941,0.06,-125.9165,50.456
2023-01-08,-125.9165,50.46049,-0.05384,0.068,-125.9165,50.46049
2023-01-08,-125.9165,50.465,-0.05854,0.045,-125.9165,50.465
2023-01-08,-125.9165,50.4695,-0.07722,0.001,-125.9165,50.4695
2023-01-08,-125.9165,50.474,-0.10639,-0.046,-125.9165,50.474
2023-01-08,-125.9084,50.3885,-0.01771,0.131,-125.9084,50.3885
2023-01-08,-125.9084,50.393,-0.09327,0.16,-125.9084,50.393
2023-01-08,-125.9084,50.3975,0.04717,0.12,-125.9084,50.3975
2023-01-08,-125.9084,50.402,0.13677,0.051,-125.9084,50.402
2023-01-08,-125.9084,50.4065,0.14843,-0.111,-125.9084,50.4065
2023-01-08,-125.9084,50.411,-0.18824,-0.195,-125.9084,50.411
2023-01-08,-125.9084,50.4155,-0.12263,-0.033,-125.9084,50.4155
2023-01-08,-125.9084,50.44699,-0.02412,0.016,-125.9084,50.44699
2023-01-08,-125.9084,50.4515,-0.01881,0.002,-125.9084,50.4515
2023-01-08,-125.9084,50.456,-0.03511,0.027,-125.9084,50.456
2023-01-08,-125.9084,50.46049,-0.0251,0.054,-125.9084,50.46049
2023-01-08,-125.9084,50.465,-0.0254,0.047,-125.9084,50.465
2023-01-08,-125.9084,50.4695,-0.03999,0.033,-125.9084,50.4695
